Country;ASNs;LIRs;*Number of /22 from last /8;Total amount of IPv4 Allocated /32s;Total amount of IPv6 Allocated /32s
AE;88;94;56;3800576;190
BH;25;19;14;451584;49
IQ;125;124;113;680192;462
IR;632;441;571;12482560;2049
JO;39;40;36;677888;128
KW;69;45;31;1733632;148
LB;180;152;147;610304;478
OM;16;16;17;864256;39
PS;54;39;39;672512;113
QA;14;15;10;835584;64
SA;178;132;107;9736704;336
SY;7;84;97;1174528;75
TR;636;540;543;16173824;2200
YE;5;6;6;110592;48
